time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2010-06-01T16:05:29.580Z,-36.819,-73.505,14.6,5.6,mwb,62,115.8,,1.1,us,usp000hdf9,2022-07-16T14:41:36.297Z,"36 km WSW of Talcahuano, Chile",earthquake,,20.2,,,reviewed,us,us
2010-05-27T22:20:13.000Z,-37.339,-74.257,28.4,5.2,mb,126,67.8,,,us,usp000hd8y,2022-07-16T14:26:43.573Z,"61 km WNW of Lebu, Chile",earthquake,,,,62,reviewed,guc,us
2010-05-25T13:09:26.030Z,-37.617,-72.852,34.8,5.3,mwc,158,66.8,,0.85,us,usp000hd5m,2022-07-16T14:12:26.887Z,"20 km SW of Nacimiento, Chile",earthquake,,,,,reviewed,us,gcmt
2010-05-24T23:57:37.500Z,-36.25,-73.106,35,5.3,mwc,84,114.1,,1.09,us,usp000hd4z,2022-07-16T14:09:11.539Z,"42 km NNW of Tomé, Chile",earthquake,,,,,reviewed,us,gcmt
2010-05-21T18:52:06.000Z,-34.64,-71.969,7.3,5.3,mwc,363,34.2,,,us,usp000hd0s,2022-07-16T13:54:48.008Z,"55 km W of Santa Cruz, Chile",earthquake,,,,,reviewed,guc,gcmt
2010-05-21T13:02:21.740Z,-25.808,-66.736,10,5.1,mwc,40,94.4,,0.95,us,usp000hd0g,2022-05-02T22:36:04.820Z,"72 km ENE of Antofagasta de la Sierra, Argentina",earthquake,,,,,reviewed,us,gcmt
2010-05-13T20:39:15.240Z,-34.213,-72.143,39,5.2,mwc,66,77.8,,0.82,us,usp000hcqh,2022-05-02T21:56:13.942Z,"84 km SW of San Antonio, Chile",earthquake,,7.9,,,reviewed,us,gcmt
2010-05-09T03:29:38.560Z,-33.934,-72.063,32.1,5,mwc,115,117.7,,0.75,us,usp000hche,2022-07-16T13:08:38.291Z,"56 km SW of San Antonio, Chile",earthquake,,10.7,,,reviewed,us,gcmt
2010-05-06T02:42:47.940Z,-18.058,-70.547,37,6.2,mwc,455,11.8,,0.73,us,usp000hccn,2022-07-16T12:56:13.699Z,"21 km S of Las Yaras, Peru",earthquake,,,,,reviewed,us,us
2010-05-05T15:24:10.680Z,-35.56,-72.939,30.1,5.4,mwc,119,71.9,,0.79,us,usp000hcbw,2022-07-16T12:51:32.494Z,"54 km WSW of Constitución, Chile",earthquake,,,,,reviewed,us,gcmt
2010-05-04T16:12:55.230Z,-21.886,-68.251,91.9,5.3,mwc,224,47.4,,0.84,us,usp000hcak,2022-07-16T12:43:41.399Z,"93 km NE of Calama, Chile",earthquake,,4.7,,,reviewed,us,gcmt
2010-05-04T13:55:06.530Z,-34.152,-72.247,22.3,5.2,mwc,61,116.1,,0.96,us,usp000hcac,2022-07-16T12:42:06.949Z,"85 km SW of San Antonio, Chile",earthquake,,15.7,,,reviewed,us,gcmt
2010-05-03T23:09:44.790Z,-38.072,-73.454,19,6.3,mwc,262,54.7,,1.07,us,usp000hc9m,2022-08-09T03:54:16.179Z,"30 km S of Cañete, Chile",earthquake,,,,,reviewed,us,us
2010-05-03T18:39:44.690Z,-37.232,-73.686,35,5.4,mwc,78,68.4,,0.9,us,usp000hc9d,2022-07-16T12:37:19.574Z,"32 km W of Arauco, Chile",earthquake,,,,,reviewed,us,gcmt
2010-05-02T14:52:40.030Z,-34.228,-71.877,13,5.9,mwb,292,34.1,,0.79,us,usp000hc7j,2022-08-09T03:37:03.270Z,"65 km NW of Santa Cruz, Chile",earthquake,,,,,reviewed,us,us
2010-05-01T21:01:34.250Z,-21.08,-68.594,108.7,5,mwc,172,52,,1.07,us,usp000hc64,2022-07-16T12:22:58.271Z,"156 km NNE of Calama, Chile",earthquake,,4.2,,,reviewed,us,gcmt
2010-05-01T14:41:05.000Z,-33.19,-72.307,35.3,5,mb,88,80.5,,,us,usp000hc5r,2022-07-16T12:21:25.916Z,"65 km WSW of Valparaíso, Chile",earthquake,,,,46,reviewed,guc,us
2010-04-29T13:40:13.000Z,-36.852,-73.176,33.9,5,mb,83,138.3,,,us,usp000hc2r,2022-07-16T12:10:20.653Z,"11 km WSW of Concepción, Chile",earthquake,,,,51,reviewed,guc,us
2010-04-29T07:56:34.150Z,-36.858,-73.616,35,5.1,mwc,119,133.8,,0.96,us,usp000hc2b,2022-07-16T12:08:44.132Z,"46 km WNW of Coronel, Chile",earthquake,,,,,reviewed,us,gcmt
2010-04-25T15:42:23.430Z,-37.526,-72.879,40.6,5,mb,82,116.9,,0.74,us,usp000hbw4,2022-08-08T23:20:43.625Z,"18 km W of Nacimiento, Chile",earthquake,,,,43,reviewed,us,us
2010-04-23T10:03:06.180Z,-37.529,-72.969,32,6,mwc,237,36,,0.86,us,usp000hbtp,2022-08-09T04:08:07.308Z,"26 km W of Nacimiento, Chile",earthquake,,,,,reviewed,us,gcmt
2010-04-19T07:32:48.890Z,-37.519,-73.68,25.8,5.2,mwc,123,69.9,,0.94,us,usp000hbnd,2022-07-16T11:16:24.373Z,"10 km NNW of Lebu, Chile",earthquake,,,,,reviewed,us,gcmt
2010-04-18T02:52:18.450Z,-37.167,-73.759,19.9,5.1,mwc,108,104.9,,0.96,us,usp000hbk9,2022-07-16T11:06:26.396Z,"40 km WNW of Arauco, Chile",earthquake,,16.7,,,reviewed,us,gcmt
2010-04-18T01:49:38.500Z,-37.159,-73.753,29.9,5.6,mwc,147,68.4,,0.96,us,usp000hbk2,2022-07-16T11:04:40.806Z,"39 km WNW of Arauco, Chile",earthquake,,13.2,,,reviewed,us,gcmt
2010-04-16T23:15:36.440Z,-37.42,-73.669,24,5.7,mwc,202,29.5,,0.88,us,usp000hbh2,2022-07-16T10:55:03.230Z,"20 km N of Lebu, Chile",earthquake,,,,,reviewed,us,gcmt
2010-04-16T22:41:33.880Z,-37.46,-73.732,6,5.7,mwb,123,54.2,,0.85,us,usp000hbgx,2022-08-09T03:26:46.256Z,"17 km NNW of Lebu, Chile",earthquake,,,,,reviewed,us,us
2010-04-16T22:38:27.060Z,-37.503,-73.687,35,5,mb,98,47.4,,0.81,us,usp000hbgw,2014-11-07T01:41:16.822Z,"12 km NNW of Lebu, Chile",earthquake,,,,51,reviewed,us,us
2010-04-10T21:29:04.720Z,-34.64,-71.633,54.5,5,mb,45,140.4,,0.74,us,usp000hb50,2014-11-07T01:41:14.831Z,"24 km W of Santa Cruz, Chile",earthquake,,11.8,,26,reviewed,us,us
2010-04-10T15:06:34.070Z,-25.68,-70.667,49.5,5.5,mwb,256,41.8,,1.23,us,usp000hb4h,2022-07-16T10:20:27.984Z,"Near the coast of Antofagasta, Chile",earthquake,,,,,reviewed,us,us
2010-04-09T22:23:02.980Z,-28.559,-68.124,117.7,5.8,mwb,364,18.3,,0.76,us,usp000hb2t,2022-07-16T10:17:26.921Z,"23 km NNE of Vinchina, Argentina",earthquake,,,,,reviewed,us,us
2010-04-06T13:04:44.070Z,-35.043,-72.689,35.6,5.1,mb,106,74.8,,0.81,us,usp000harp,2022-07-16T09:56:44.035Z,"40 km NW of Constitución, Chile",earthquake,,5.9,,45,reviewed,us,us
2010-04-05T22:36:57.230Z,-19.86,-68.842,94.2,5.8,mwc,367,33.3,,0.91,us,usp000hana,2022-05-02T21:52:49.393Z,"142 km ENE of Iquique, Chile",earthquake,,2.9,,,reviewed,us,gcmt
2010-04-02T22:58:07.560Z,-36.227,-72.878,24,6,mwc,353,34.2,,0.81,us,usp000ha96,2022-08-09T04:09:18.579Z,"30 km W of Quirihue, Chile",earthquake,,,,,reviewed,us,gcmt
2010-04-02T19:34:10.840Z,-36.119,-72.697,37.5,5.1,mb,159,71.5,,0.84,us,usp000ha8z,2022-07-16T09:36:38.667Z,"22 km NW of Quirihue, Chile",earthquake,,4.5,,85,reviewed,us,us
2010-04-01T19:43:02.300Z,-34.199,-72.104,36.4,5.1,mwc,91,77.9,,0.92,us,usp000ha7c,2022-07-16T09:31:36.613Z,"81 km SW of San Antonio, Chile",earthquake,,5.6,,,reviewed,us,gcmt
2010-04-01T12:53:07.610Z,-34.649,-71.82,11.8,5.1,mwc,192,53.2,,0.85,us,usp000ha6u,2022-07-16T09:25:18.301Z,"41 km W of Santa Cruz, Chile",earthquake,,5,,,reviewed,us,gcmt
2010-03-29T07:35:06.000Z,-34.881,-71.935,34.1,5.4,mwb,237,78.2,,,us,usp000ha3t,2022-07-16T09:15:09.904Z,"56 km W of Rauco, Chile",earthquake,,,,,reviewed,guc,us
2010-03-28T21:43:13.550Z,-35.406,-72.897,21.5,5.6,mwc,214,53.2,,1.12,us,usp000ha3f,2022-08-09T03:23:51.440Z,"44 km W of Constitución, Chile",earthquake,,2.8,,,reviewed,us,gcmt
2010-03-28T21:38:28.000Z,-35.387,-73.385,29.9,6,mwb,259,53,,,us,usp000ha3d,2022-08-09T04:10:23.550Z,"88 km W of Constitución, Chile",earthquake,,,,,reviewed,guc,us
2010-03-28T14:36:34.330Z,-36.139,-73.449,35,5.2,mwc,38,114.8,,0.93,us,usp000ha2r,2022-07-16T09:13:32.890Z,"69 km NW of Tomé, Chile",earthquake,,,,,reviewed,us,gcmt
2010-03-26T14:52:07.230Z,-27.953,-70.821,42,6.3,mwb,387,21.1,,0.9,us,usp000ha0a,2022-07-16T09:03:58.208Z,"69 km N of Vallenar, Chile",earthquake,,,,,reviewed,us,us
2010-03-25T13:57:52.000Z,-35.989,-72.725,33.8,5,mb,69,115.7,,,us,usp000h9yw,2022-07-16T08:55:54.360Z,"36 km NNW of Quirihue, Chile",earthquake,,,,37,reviewed,guc,us
2010-03-25T11:10:41.620Z,-35.835,-73.046,35,5.3,mwc,78,116.4,,1.2,us,usp000h9yr,2022-07-16T08:54:17.317Z,"66 km WNW of Cauquenes, Chile",earthquake,,,,,reviewed,us,gcmt
2010-03-24T11:30:12.100Z,-36.543,-73.526,30.7,5,mb,112,69.7,,0.86,us,usp000h9xp,2022-07-16T08:45:52.846Z,"41 km WNW of Talcahuano, Chile",earthquake,,,,44,reviewed,us,us
2010-03-24T00:05:14.580Z,-37.15,-73.557,19.1,5.1,mwc,46,132.8,,1.17,us,usp000h9x2,2022-07-16T08:42:41.866Z,"23 km WNW of Arauco, Chile",earthquake,,24.3,,,reviewed,us,gcmt
